nome atual,nome novo,newnum,nomearquivo
0-bassdrum.wav,bassdrum,1,1-bassdrum.wav
1-tomtom.wav,tomtom,2,2-tomtom.wav
2-ridecymbal.wav,cymbal,3,3-cymbal.wav
3-gongo_untuned.wav,gong.untuned,4,4-gong.untuned.wav
4-gong_tuned.wav,gong.tuned,5,5-gong.tuned.wav
5-snare_flan_nowire.wav,sdrum.nosnare,6,6-sdrum.nosnare.wav
6-snare_drag_withwire.wav,sdrum.drag,7,7-sdrum.drag.wav
8-whip.wav,whip,8,8-whip.wav
9-tabla_gliss.wav,tabla.gliss,9,9-tabla.gliss.wav
10-pandeiro_slap.wav,tamb.slap,10,10-tamb.slap.wav
11-matraca.wav,ratchet,11,11-ratchet.wav
12-guiro.wav,guiro,12,12-guiro.wav
13-guizo.wav,sleighbells,13,13-sleighbells.wav
14-timpanI_roll.wav,timp.roll,14,14-timp.roll.wav
15-thundersheet_shake.wav,thunder.shake,15,15-thunder.shake.wav
16-africanrattle.wav,rattle,16,16-rattle.wav
17-pandeiro_fingerscrape.wav,tamb.tremolo,17,17-tamb.tremolo.wav
18-berimbau_vibrato.wav,berimb.vib,18,18-berimb.vib.wav
19-berimbau_jete.wav,berimb.jete,19,19-berimb.jete.wav
20-rainstick.wav,rainstick,20,20-rainstick.wav
21-cymbal_bow.wav,cymbal.bow,21,21-cymbal.bow.wav
22-vibraphone_bow.wav,vibes.bow,22,22-vibes.bow.wav
23-whistle.wav,whistle,23,23-whistle.wav
marcos_raspadoPandeiro1.wav,pand.skin.frict,24,24-pand.skin.frict.wav
marcos_tremoloPandeiro.wav,pand.rim.frict,25,25-pand.rim.frict.wav
7-snare_ord_withwire.wav,---,,
marcos_raspadoPandeiro2.wav,---,,
